Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
HP,Notebook,16 GB,Intel Core i7 1355U,Intel Iris Xe,13.5 Inch,1920x1280,512GB SSD,Windows,76700
HP,Notebook,8 GB,Intel Core i5 1355U,Intel Iris Xe,14 Inch,1920x1080,512GB SSD,Windows,41990
HP,Notebook,8 GB,Intel Core i5 1235U,NVIDIA  MX570,15.6 Inch,1920x1080,512GB SSD,Dos,34700
HP,Notebook,8 GB,Intel Core i5 1342,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,37880
HP,Notebook,4 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows,21493
HP,Notebook,8 GB,Intel Core i5 1342,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,37900
HP,Notebook,16 GB,Intel Core i7 1355U,Intel Iris Xe,14 Inch,1920x1080,1TB SSD,Windows,53400
HP,Notebook,8 GB,Intel Core i3 1215U,Intel UHD,14 Inch,1920x1080,256GB SSD,Windows,30648
ASUS,Notebook,8 GB,Intel Core i7 1165G,NVIDIA MX330,15.6 Inch,1920X1080,512GB SSD,Windows,35126
ASUS,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,16 Inch,1920X1080,512GB SSD,Windows,36718
ASUS,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,16 Inch,1920X1080,512GB SSD,Windows,41594
ASUS,Notebook,8 GB,Intel Core i5 1135G,NVIDIA MX330,15.6 Inch,1920X1080,512GB SSD,Windows,31362
ASUS,Notebook,8 GB,Intel Core i5 1250,NVIDIA RTX 3050,15.6 Inch,1920X1080,512GB SSD,Windows,42689
ASUS,Gaming,8 GB,AMD RYZEN 9 7940HS,NVIDIA  RTX 4070,15.6 Inch,1920X1080,1TB SSD,Dos,98599
ASUS,Notebook,8 GB,Intel Core i5 1140,Intel UHD,15.6 Inch,1920X1080,512GB SSD,Windows,40500
ASUS,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920X1080,512GB SSD,Windows,63258
ASUS,Notebook,8 GB,AMD RYZEN 7 7730U,AMD Radeon,15.6 Inch,1920X1080,512GB SSD,Windows,29599
ASUS,Notebook,16 GB,Intel Core i7 1355U,Intel Iris Xe,14.5 Inch,1920X1080,512GB SSD,Windows,61199
ASUS,Notebook,8 GB,AMD RYZEN 5 5600H,AMD Radeon,14 Inch,1920x1080,512GB SSD,Windows,29999
Lenovo,Notebook,4 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows,16599
Lenovo,Gaming,16 GB,Intel Core i7 13620H,NVIDIA RTX 4060,15.6 Inch,1920x1080,512GB SSD,Dos,57299
ASUS,Notebook,8 GB,AMD RYZEN7 7730U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,25999
ASUS,Notebook,16 GB,Intel Core Ultra 7,Intel Iris Xe,15.6 Inch,1920x1080,1TB SSD,Windows,55555
DELL,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,20666
MSI,Notebook,8 GB,Intel Core i3 1215U,Intel UHD,14 Inch,1920x1080,256GB SSD,Dos,16599
Lenovo,Notebook,8 GB,Intel Core i7 1255U,NVIDIA  MX550,14 Inch,1920x1080,512GB SSD,Dos,41000
Apple,Ultrabook,8 GB,M2,8 core,14 Inch,2880x1800,256GB SSD,Mac,66900
Lenovo,Notebook,8 GB,Intel Core i3 1115U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,12210
ASUS,Notebook,16 GB,Intel Core i7 1355U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Dos,49499
DELL,Gaming,16 GB,Intel Core i7 1015U,NVIDIA RTX 3060,16 Inch,2880x1800,512GB SSD,Dos,53399
MSI,Notebook,16 GB,Intel Core Ultra 7 155H,NVIDIA  RTX 4060,15.6 Inch,2880x1800,512GB SSD,Windows,63149
DELL,Notebook,16 GB,Intel Core i5 1155G,NVIDIA MX350,14inch,1920x1080,512GB SSD,Windows,48000
DELL,Notebook,8 GB,Intel Core i7 1015U,NVIDIA MX350,15.6 Inch,1920x1080,512GB SSD,Windows,31000
Lenovo,Notebook,8 GB,Intel Core i3 1015U,Intel Iris,15.6 Inch,1920x1080,256GB SSD,Dos,12358.97
ASUS,Notebook,8 GB,Intel Core i5 1250,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,42199
Acer,Notebook,8 GB,Intel Core i7 1260P,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos,32999
ASUS,Notebook,32 GB,Intel Core Ultra i9 185H,NVIDIA RTX 4090,16 Inch,1920x1080,2TB SSD,Windows,184999
ASUS,Notebook,16 GB,Intel Core i9 13900H,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows,56399
HP,Notebook,8 GB,Intel Core i5 1135G,NVIDIA MX350,15.6 Inch,1920x1080,512GB SSD,Dos,30999
DELL,Gaming,16 GB,Intel Core i7 12450H,NVIDIA RTX 3060,15.6 Inch,2880x1800,1TB SSD,Windows,90000
DELL,Notebook,4 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,15666
DELL,Notebook,8 GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,29999
Lenovo,Notebook,8 GB,Intel Core i5 12450H,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos,31899
ASUS,Notebook,8 GB,AMD RYZEN 9 7940HS,NVIDIA RTX 4070,15.6 Inch,2880x1800,1TB SSD,Dos,91149
MSI,Notebook,16 GB,Intel Core i7 13620H,NVIDIA RTX 4060,15.6 Inch,1920x1080,512GB SSD,Dos,55899
ASUS,Notebook,4 GB,Intel Core i3 1115G,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,24949
HP,Notebook,8 GB,Intel Core i7 1355U,Intel Iris xe,15.6 Inch,1920x1080,512GB SSD,Dos,32899
HP,Notebook,4 GB,Intel Core i3 1315U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,16993.97
HP,Gaming,8 GB,Intel Core i5 1215U,NVIDIA  GTX 1650,15.6 Inch,1920x1080,1TB HDD,Dos,31777
MSI,Notebook,32 GB,Intel Core i7 12700H,NVIDIA RTX 3070,15.6 Inch,2880x1800,1TB SSD,Windows,82399
MSI,Notebook,16 GB,Intel Core i7 12650H,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,40465
HP,Notebook,16 GB,Intel Core i7 1370,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos,57999
